"question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"How is Power defined in the reviewer?","The legal authority of governments to create laws","The economic capacity of states to sustain global growth","The military strength of a nation relative to others","The ability of a person group or institution to affect the behavior of others even against their will","D","Power is defined as the ability of a person group or institution to affect the behavior of others even against their will — the foundation for understanding geopolitics and unilateralism."
"How is Geopolitics defined in the reviewer (Nau 2008)?","The focus on a country's location environment and geography as the basis of its national interests","The analysis of historical political alliances","The relationship between military strength and governance","The study of international trade and economic geography","A","Geopolitics is defined as the focus and concentration of a country's location environment and geography as the basis of its national interests (Nau 2008)."
"According to the reviewer what are the THREE areas where American dominance is seen under Unilateralism?","Legal economic and cultural","Military diplomatic and cultural","Political economic and military","Economic technological and environmental","C","American dominance under Unilateralism is seen in three areas: Political (Western hegemony rooted in the colonial period) Economic (US market sustaining global growth) and Military (most highly valued military force in the world)."
"According to Balaam and Veseth (2008) what is needed to sustain power under Unilateralism?","Liberal values of freedom democracy and human rights","Economic dominance and resource control","Technological superiority and trade agreements","Military alliances and nuclear deterrence","A","According to Balaam and Veseth (2008) power can only be sustained if it employs liberal values of freedom democracy and human rights — a key condition for sustaining US unilateral power."
"What must the US do to maintain hegemony under Multilateralism?","Impose sanctions on rival nations","Form alliances and coalitions in a multipolar configuration of power","Develop superior military technology","Withdraw from international organizations","B","Under Multilateralism for the US to maintain hegemony it must form alliances and coalitions in a multipolar configuration of power — moving beyond unilateral action."
"Which power configuration involves only two great powers dominating the international system?","Tripolar","Multipolar","Unipolar","Bipolar","D","Bipolar refers to only two great powers dominating — the Cold War between the US and the USSR is the cited example."
"Which power configuration is cited as exemplified by the US Japan and Europe during WWII?","Tripolar","Bipolar","Multipolar","Unipolar","A","Tripolar or Tripolarity involves three states dominating global order. The US Japan and Europe during WWII are cited as an example and in economic power Japan China and the US."
"What is the CURRENT power configuration described in the reviewer?","Unipolar — US dominates alone","Bipolar — US and China compete","Tripolar — US Russia and China","Multipolar — involving Europe China Japan Russia US and major alliances","D","The current situation is described as multipolar or multipolarity — more states are involved in the distribution of global power including Europe China Japan Russia the US and major alliances."
"What is William Wohlforth's argument about the world system?","The world system is unambiguously unipolar enjoyed predominantly by the US — the only superpower with economic military and technology","The US and China share global superpower status equally","Russia and the EU form a competing bloc to US power","The world is trending toward true multipolarity","A","William Wohlforth argues that the world system is unambiguously unipolar predominantly enjoyed by the US — the only superpower with all components including economic military and technology."
"When was the United Nations established?","1919","1945","1951","1939","B","The United Nations was established in 1945 with the League of Nations as its original body. It currently has 193 member states."
"What was the original body of the United Nations?","The International Court of Justice","The Security Council","The General Assembly","The League of Nations","D","The United Nations was established in 1945 with the League of Nations as its original body. It currently has 193 member states acting on issues like peace security and human rights."
"How many member states does the UN currently have?","151","180","189","193","D","The UN currently has 193 member states. It acts on issues like peace and security climate change sustainable development human rights disarmament terrorism gender equality and food production."
"What vote threshold is required in the General Assembly for issues like peace security budget and admission of new members?","Simple majority (51%)","60% supermajority","Three-fourths majority","Two-thirds vote","D","A two-thirds vote is required in the General Assembly for major issues like peace security budget and admission of new members."
"How many members does the Security Council have and how many are permanent?","10 members — 3 permanent","15 members — 5 permanent","12 members — 4 permanent","20 members — 5 permanent","B","The Security Council has 15 members — 5 permanent and 10 non-permanent members elected for two terms. The permanent members are China France Russian Federation United Kingdom and United States."
"Which of the following is NOT a permanent member of the UN Security Council?","China","France","Germany","Russian Federation","C","The five permanent members of the UN Security Council are China France Russian Federation United Kingdom and the United States. Germany is NOT a permanent member."
"What authority does the UN Security Council have over member states?","All member states are obligated to follow its decisions and it can impose sanctions","It can advise but not compel member states","It can impose sanctions but not punish members","It can only make non-binding recommendations","A","The Security Council is responsible for the maintenance of peace and security. All member states are obligated to follow its decisions and it can impose sanctions or punish members."
"How many members does ECOSOC have and how are they chosen?","15 members appointed by permanent Security Council members","10 members elected by the Security Council","25 members chosen by the Secretary-General","54 members elected by the General Assembly","D","ECOSOC has 54 members elected by the General Assembly. It coordinates reviews and recommends policies on economic social and environmental issues and is the main agency for monitoring sustainable development."
"What is the primary function of the Trusteeship Council?","To provide international supervision for Trust Territories and prepare them for independence","To coordinate economic and social development programs","To manage the UN budget and secretariat operations","To resolve legal disputes among member states","A","The Trusteeship Council was established in 1945 to provide international supervision for 11 Trust Territories under 7 member-states and to prepare territories for independence."
"Where is the International Court of Justice (ICJ) headquartered?","New York USA","Brussels Belgium","Geneva Switzerland","The Peace Palace in the Netherlands","D","The ICJ is the only UN organ outside the US — headquartered at the Peace Palace in the Netherlands. It settles legal disputes among states and provides opinions on legal matters."
"Who heads the Secretariat of the UN?","The President of the General Assembly","The Chair of the Security Council","The Director of ECOSOC","The UN Secretary-General as chief Administrative Officer","D","The Secretariat is headed by the UN Secretary-General who serves as the chief Administrative Officer — appointed through Security Council recommendation for a five-year term."
"How long is the UN Secretary-General's term and who recommends the appointment?","Seven years recommended by the General Assembly","Five years recommended by the Security Council","Three years recommended by the Trusteeship Council","Ten years recommended by ECOSOC","B","The UN Secretary-General is appointed through a Security Council recommendation for a five-year term and is responsible for the day-to-day work and operation of the UN."
"NATO was initially formed in 1949 as what type of organization?","A political association not a military alliance","An economic partnership for post-war reconstruction","A nuclear deterrence alliance","A military alliance to counter the Soviet Union","A","NATO was formed initially as a political association not a military alliance in 1949. It later transformed into a conventional military alliance."
"Under NATO what condition triggers the use of military power?","When any member requests it","When the Secretary-General declares it","Only when diplomatic efforts fail","Automatically when a member is attacked","C","According to the reviewer military power is a collective option only when diplomatic efforts fail — reflecting NATO's current approach of promoting democratic values through consultation and cooperation first."
"How many strategic concepts does NATO have according to the reviewer?","4","5","6","7","C","The reviewer lists 6 Strategic Concepts of NATO including defending one another offering partners political engagement preventing crises working toward a world without nuclear weapons keeping NATO open to European democracies and committing to continuous reform."
"Which NATO strategic concept addresses the Alliance's position on nuclear weapons?","Defend one another against attack including new threats","Keep NATO open to all European democracies meeting membership standards","Commit to continuous reform for effectiveness and efficiency","Work toward a world without nuclear weapons but remain a nuclear Alliance as long as nuclear weapons exist","D","One of NATO's six strategic concepts is to work toward a world without nuclear weapons but remain a nuclear Alliance as long as nuclear weapons exist — balancing disarmament goals with deterrence."
"How many member countries does NATO have according to the reviewer?","25","31","30","28","B","The reviewer states NATO has 31 member countries from North America and Europe. Its policy on defense and security was formally adopted in 2010."
"When was NATO's policy on defense and security formally adopted?","2010","2001","2005","1995","A","NATO's policy on defense and security was formally adopted in 2010 — the year cited in the reviewer alongside the Alliance's 31 member countries."
"Which UN organ is described as the 'main deliberative and decision-making body'?","The Secretariat","The General Assembly","ECOSOC","The Security Council","B","The General Assembly is described as the main deliberative and decision-making body — represented by all 193 members and holding general debate from September to December in New York."
"When does the UN General Assembly hold its general debate?","January to March","March to June","September to December in New York","July to September","C","The General Assembly holds its general debate from September to December in New York. It is represented by all 193 member states."
"What is the primary function of the International Court of Justice?","Managing the UN's budget and administrative operations","Supervising trust territories and preparing them for independence","Coordinating economic social and environmental policies","Settling legal disputes among states and providing opinions on legal matters","D","The ICJ is the principal judicial body of the UN. It settles legal disputes among states and provides opinions on legal matters — and is the only UN organ headquartered outside the US at the Peace Palace in the Netherlands."
"Which gap in Global Governance involves the problem of consensus among member states in decision-making?","Jurisdiction Gap","Incentive Gap","Participation Gap","Governance Gap","C","The Participation Gap involves the problem of consensus in decision-making — almost all international organizations face this where member states sometimes disagree on issues harmful to their interest such as WTO members on agricultural policies."
"What happens to poor countries specifically under the Incentive Gap?","They are excluded from membership in global organizations","They are given veto power to balance the interests of rich nations","They receive less attention due to contributory constraints","They receive preferential trade treatment","C","Under the Incentive Gap poor countries receive less attention due to contributory constraints — reflecting the uneven distribution of authority and control over decisions and policies between rich and poor countries."
"Which political system values the significance of individuals over collective goals?","Collectivism","Totalitarianism","Individualism","Theocracy","C","Individualism values the significance of individuals over collective goals — built on individual freedom and self-expression and the pursuit of economic interest as introduced by Adam Smith."
"Balaam and Veseth (2008) are cited in relation to which political concept?","The formation of NATO alliances","Liberal values required to sustain power under Unilateralism","The three gaps in Global Governance","The definition of Political Globalization","B","Balaam and Veseth (2008) are cited in the context of Unilateralism — specifically that power can only be sustained if it employs liberal values of freedom democracy and human rights."
"The General Assembly requires a two-thirds vote for which category of decisions?","Procedural matters only","Issues like peace security budget and admission of new members","Decisions on membership fees and staff","All resolutions regardless of topic","B","The General Assembly requires a two-thirds vote for major issues — specifically peace security budget and the admission of new members. Other issues may be decided by simple majority."
"What distinguishes ECOSOC from the other five UN organs?","It is the only organ headed by the Secretary-General","It is the only organ with 193 members","It is the main agency specifically for monitoring sustainable development","It is the only organ headquartered outside New York","C","ECOSOC is distinguished as the main agency for monitoring sustainable development — it coordinates reviews and recommends policies on economic social and environmental issues and has 54 members elected by the General Assembly."
"Which UN organ was specifically created to supervise 11 Trust Territories under 7 member-states?","The Trusteeship Council","The General Assembly","The International Court of Justice","ECOSOC","A","The Trusteeship Council was established in 1945 specifically to provide international supervision for 11 Trust Territories under 7 member-states and to prepare them for independence."
"In Wohlforth's argument what makes the US the ONLY superpower?","It is the only state with all components — economic military and technology","Its geographic position and control of global trade routes","Its founding role in major international institutions","Its permanent membership in the UN Security Council","A","Wohlforth argues the world is unambiguously unipolar because the US is the only state with all components of superpower status — economic military and technology — enjoyed predominantly by the US."
"Under the Bipolar configuration what is the cited example?","US Japan and Europe during WWII","US China and Russia in the current era","Europe China Japan Russia and the US","The Cold War between the US and the USSR","D","Bipolar configuration involves only two great powers dominating — the Cold War between the US and the USSR is the cited example."
"The reviewer cites Japan China and the US as an example of Tripolar power in which domain?","Economic power","Political alliances","Cultural influence","Military power","A","The reviewer cites Japan China and the US as an example of Tripolar or Tripolarity in the domain of economic power — distinct from the WWII political-military example of US Japan and Europe."
"Which strategic concept of NATO is about expanding the Alliance's membership?","Keep NATO open to all European democracies meeting membership standards","Offer partners more political engagement and role in operations","Commit to continuous reform for effectiveness and efficiency","Defend one another against attack","A","One of NATO's six strategic concepts is to keep NATO open to all European democracies meeting membership standards — reflecting the Alliance's expansion policy."
"What concept involves 'management authority cooperation and mechanisms aimed at attaining certain goals'?","Political Globalization","Global Governance","Multilateralism","Unilateralism","B","Global Governance involves management authority cooperation and mechanisms aimed at attaining certain goals — bounded by consensus and agreements involving states and national and regional bodies."
"Which non-permanent Security Council members serve how many elected terms?","Three terms","Two terms","One term only","Indefinite terms based on performance","B","Non-permanent Security Council members — 10 in total — are elected for two terms. The 5 permanent members (China France Russian Federation UK and US) serve indefinitely."
"What is the key difference between the Individualism element of 'pursuit of economic interest' and Collectivism's approach?","Collectivism focuses on free markets; Individualism focuses on state control","In Individualism best interest is achieved when people are free to choose; in Collectivism the state manages collective economic action","Individualism restricts economic freedom; Collectivism promotes it","Both systems ultimately achieve the same economic goals","B","In Individualism the pursuit of economic interest holds that the best interest is achieved when people are free to do as they choose. In Collectivism the state as primary economic manager directs collective economic action — opposite approaches."
"Which of the six UN organs is described as responsible for day-to-day operations?","The General Assembly","The Security Council","The Secretariat","ECOSOC","C","The Secretariat headed by the Secretary-General is responsible for the day-to-day work and operation of the UN — distinct from the deliberative decision-making and judicial roles of other organs."
"What does the reviewer identify as the original purpose of NATO before it became a military alliance?","A nuclear deterrence group","A collective economic partnership","An intergovernmental court for disputes","A political association","D","NATO was formed initially as a political association not a military alliance in 1949. It later transformed into a conventional military alliance and currently promotes democratic values through consultation and cooperation."
